,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers
0,31.998,2653,189,False,en,sin city: a dame to kill for,6.3,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,R,2014,08,,"$65,000,000","$13,757,804","$40,650,842",tt0458481,sin city: a dame to kill for,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666,"Josh Brolin,Mickey Rourke,Jessica Alba,Joseph Gordon-Levitt","Frank Miller,Robert Rodriguez","Mark C. Manuel,Sergei Bespalov,Aaron Kaufman,Stephen L'Heureux",,
1,14.736,15131,1771,False,en,captain america: the first avenger,6.9,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",PG-13,2011,07,Par.,"$140,000,000","$176,654,505","$370,569,776",tt0458339,captain america: the first avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137,"Chris Evans,Samuel L. Jackson,Hugo Weaving,Hayley Atwell",Joe Johnston,Kevin Feige,,"Jack Kirby,Christopher Markus,Stephen McFeely,Joe Simon"
2,24.337,10020,1865,False,en,pirates of the caribbean: on stranger tides,6.5,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",PG-13,2011,05,BV,"$410,600,000","$241,063,875","$1,045,663,875",tt1298650,pirates of the caribbean: on stranger tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",6.6,447624,"Johnny Depp,Geoffrey Rush,Ian McShane,Penélope Cruz",Rob Marshall,,,"Stuart Beattie,Ted Elliott,Terry Rossio,Tim Powers,Jay Wolpert"
3,29.346,11929,1930,False,en,the amazing spider-man,6.5,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",PG-13,2012,06,Sony,"$220,000,000","$262,030,663","$757,890,267",tt0948470,the amazing spider-man,The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi",7.0,525632,"Emma Stone,Andrew Garfield,Rhys Ifans,Irrfan Khan",Marc Webb,,,"Stan Lee,James Vanderbilt,Steve Ditko,Alvin Sargent,Steve Kloves"
4,16.614,1854,4258,False,en,scary movie 5,4.7,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",PG-13,2013,04,W/Dim.,,,,tt0795461,scary movie 5,Scary Movie 5,2013,86.0,Comedy,3.5,60139,"Simon Rex,Lindsay Lohan,Ashley Tisdale,Charlie Sheen","Malcolm D. Lee,David Zucker",,,"Marlon Wayans,Buddy Johnson,Pat Proft,Shawn Wayans"
5,13.159,1249,7978,False,en,the wolfman,5.8,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",R,2010,02,Uni.,"$150,000,000","$62,189,884","$142,634,358",tt0780653,the wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,"Anthony Hopkins,Benicio Del Toro,Emily Blunt,Simon Merrells",Joe Johnston,"Scott Stuber,Sean Daniel",,"Andrew Kevin Walker,David Self,Curt Siodmak"
6,13.231,2092,8967,False,en,the tree of life,6.7,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",PG-13,2011,05,FoxS,"$35,000,000","$13,305,665","$61,721,826",tt0478304,the tree of life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266,"Jessica Chastain,Brad Pitt,Sean Penn,Hunter McCracken",Terrence Malick,"Sarah Green,Dede Gardner,Bill Pohlad,Grant Hill",,
7,19.026,4864,9543,False,en,prince of persia: the sands of time,6.2,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",PG-13,2010,05,BV,,,,tt0473075,prince of persia: the sands of time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975,"Alfred Molina,Gemma Arterton,Ben Kingsley,Jake Gyllenhaal",Mike Newell,Jerry Bruckheimer,,"Boaz Yakin,Carlo Bernard,Doug Miro,Jordan Mechner"
8,23.973,14609,10138,False,en,iron man 2,6.8,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",PG-13,2010,04,Par.,"$170,000,000","$312,433,331","$621,156,389",tt1228705,iron man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,"Mickey Rourke,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle",Jon Favreau,,,"Jack Kirby,Justin Theroux,Stan Lee,Don Heck,Larry Lieber"
9,20.874,3940,10140,False,en,the chronicles of narnia: the voyage of the dawn treader,6.4,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",PG,2010,12,Fox,"$155,000,000","$104,386,950","$418,186,950",tt0980970,the chronicles of narnia: the voyage of the dawn treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,"Georgie Henley,Ben Barnes,Will Poulter,Skandar Keynes",Michael Apted,Andrew Adamson,,"Christopher Markus,Stephen McFeely,Michael Petroni,C.S. Lewis"
10,26.071,9101,10191,False,en,how to train your dragon,7.8,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",PG,2010,03,P/DW,"$165,000,000","$217,581,232","$494,870,992",tt0892769,how to train your dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,"Gerard Butler,Christopher Mintz-Plasse,Jay Baruchel,Craig Ferguson","Dean DeBlois,Chris Sanders",,,"William Davies,Cressida Cowell,Adam F. Goldberg,Marc Hyman"
11,22.313,4723,10192,False,en,shrek forever after,6.2,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",PG,2010,05,P/DW,"$165,000,000","$238,736,787","$756,244,673",tt0892791,shrek forever after,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,"Mike Myers,Cameron Diaz,Eddie Murphy,Antonio Banderas",Mike Mitchell,,,"Ted Elliott,William Steig,Josh Klausner,Darren Lemke,Andrew Adamson"
12,29.569,10351,10193,False,en,toy story 3,7.8,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",G,2010,06,BV,"$200,000,000","$415,004,880","$1,068,879,522",tt0435761,toy story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,"Tom Hanks,Joan Cusack,Tim Allen,Ned Beatty",Lee Unkrich,Darla K. Anderson,,"Michael Arndt,Andrew Stanton,John Lasseter"
13,29.008,15056,10195,False,en,thor,6.7,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",PG-13,2011,04,Par.,"$150,000,000","$181,030,624","$449,326,618",tt0800369,thor,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,"Anthony Hopkins,Tom Hiddleston,Natalie Portman,Chris Hemsworth",Kenneth Branagh,,,"Mark Protosevich,J. Michael Straczynski,Ashley Miller,Zack Stentz,Don Payne"
14,21.549,2592,10196,False,en,the last airbender,4.6,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",PG,2010,06,Par.,"$150,000,000","$131,772,187","$319,713,881",tt0938283,the last airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,"Nicola Peltz,Dev Patel,Jackson Rathbone,Noah Ringer",M. Night Shyamalan,"Frank Marshall,Sam Mercer",Conrad Buff IV,
15,15.444,1642,10316,False,en,the ides of march,6.7,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,R,2011,09,Sony,"$23,000,000","$40,962,534","$77,735,925",tt1124035,the ides of march,The Ides of March,2011,101.0,"Drama,Thriller",7.1,207417,"George Clooney,Philip Seymour Hoffman,Paul Giamatti,Ryan Gosling",,Brian Oliver,Stephen Mirrione,"Grant Heslov,Beau Willimon"
16,18.058,342,10317,False,en,our brand is crisis,5.9,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",R,2015,09,,"$28,000,000","$7,002,261","$8,594,558",tt1018765,our brand is crisis,Our Brand Is Crisis,2015,107.0,"Comedy,Drama",6.1,19033,"Sandra Bullock,Anthony Mackie,Billy Bob Thornton,Joaquim de Almeida",David Gordon Green,"George Clooney,Grant Heslov",,"Peter Straughan,Rachel Boynton"
17,18.884,1020,10679,False,en,iron sky,5.7,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",,2012,03,EOne,,,,tt1034314,iron sky,Iron Sky,2012,93.0,"Action,Comedy,Sci-Fi",5.9,87609,"Christopher Kirby,Udo Kier,Julia Dietze,Götz Otto",Timo Vuorensola,"Oliver Damian,Tero Kaukomaa",,"Jarmo Puskala,Johanna Sinisalo,Michael Kalesniko"
18,34.058,15836,11324,False,en,shutter island,8.1,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",R,2010,02,Par.,"$80,000,000","$128,012,934","$299,461,782",tt1130884,shutter island,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960,"Mark Ruffalo,Ben Kingsley,Leonardo DiCaprio,Emily Mortimer",Martin Scorsese,"Bradley J. Fischer,Arnold Messer,Mike Medavoy",,"Laeta Kalogridis,Dennis Lehane"
19,13.972,1390,11439,False,en,the ghost writer,6.8,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,PG-13,2010,02,Sum.,"$45,000,000","$15,541,549","$65,532,491",tt1139328,the ghost writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",7.2,148274,"Pierce Brosnan,Ewan McGregor,Jon Bernthal,Olivia Williams",Roman Polanski,"Robert Benmussa,Alain Sarde",,Robert Harris
20,7.837,129,11761,False,en,peacock,6.1,"A man with a split personality fools his small town into believing his two alter egos are man and wife, although a struggling young mother holds the key to his past and sparks a battle between the personalities.",PG-13,2010,04,,,,,tt1188113,peacock,Peacock,2010,90.0,"Drama,Horror,Thriller",6.3,10057,"Cillian Murphy,Susan Sarandon,Ellen Page,Josh Lucas",Michael Lander,Barry Mendel,Sally Menke,Ryan O Roy
21,26.884,10292,12155,False,en,alice in wonderland,6.6,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",PG,2010,03,,"$200,000,000","$334,191,110","$1,025,491,110",tt1014759,alice in wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy",6.5,358813,"Anne Hathaway,Johnny Depp,Mia Wasikowska,Helena Bonham Carter",Tim Burton,"Jennifer Todd,Suzanne Todd,Joe Roth",,"Linda Woolverton,Lewis Carroll"
