,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers,primary_genre,secondary_genre,new_genre,worldwide_gross_z,domestic_gross_z
0,31.998,2653,189,False,en,sin city: a dame to kill for,6.3,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,R,2014,08,,65.0,13.76,40.65,tt0458481,sin city: a dame to kill for,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666,"Josh Brolin,Mickey Rourke,Jessica Alba,Joseph Gordon-Levitt","Frank Miller,Robert Rodriguez","Mark C. Manuel,Sergei Bespalov,Aaron Kaufman,Stephen L'Heureux",,,Crime,Thriller,Crime,-0.5375503494397407,-0.6417792642004806
2,24.337,10020,1865,False,en,pirates of the caribbean: on stranger tides,6.5,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",PG-13,2011,05,BV,410.6,241.06,1045.66,tt1298650,pirates of the caribbean: on stranger tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",6.6,447624,"Johnny Depp,Geoffrey Rush,Ian McShane,Penélope Cruz",Rob Marshall,,,"Stuart Beattie,Ted Elliott,Terry Rossio,Tim Powers,Jay Wolpert",Action,Adventure,Action,3.910361103005499,2.165478372048974
5,13.159,1249,7978,False,en,the wolfman,5.8,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",R,2010,02,Uni.,150.0,62.19,142.63,tt0780653,the wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,"Anthony Hopkins,Benicio Del Toro,Emily Blunt,Simon Merrells",Joe Johnston,"Scott Stuber,Sean Daniel",,"Andrew Kevin Walker,David Self,Curt Siodmak",Drama,Fantasy,Drama,-0.08621353694994911,-0.04364689586101259
6,13.231,2092,8967,False,en,the tree of life,6.7,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",PG-13,2011,05,FoxS,35.0,13.31,61.72,tt0478304,the tree of life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266,"Jessica Chastain,Brad Pitt,Sean Penn,Hunter McCracken",Terrence Malick,"Sarah Green,Dede Gardner,Bill Pohlad,Grant Hill",,,Drama,Fantasy,Drama,-0.4443000391910654,-0.647336967395871
9,20.874,3940,10140,False,en,the chronicles of narnia: the voyage of the dawn treader,6.4,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",PG,2010,12,Fox,155.0,104.39,418.19,tt0980970,the chronicles of narnia: the voyage of the dawn treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,"Georgie Henley,Ben Barnes,Will Poulter,Skandar Keynes",Michael Apted,Andrew Adamson,,"Christopher Markus,Stephen McFeely,Michael Petroni,C.S. Lewis",Adventure,Family,Adventure,1.1333429648120334,0.4775421593511607
10,26.071,9101,10191,False,en,how to train your dragon,7.8,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",PG,2010,03,P/DW,165.0,217.58,494.87,tt0892769,how to train your dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,"Gerard Butler,Christopher Mintz-Plasse,Jay Baruchel,Craig Ferguson","Dean DeBlois,Chris Sanders",,,"William Davies,Cressida Cowell,Adam F. Goldberg,Marc Hyman",Action,Adventure,Action,1.472708593187374,1.8754897697650443
11,22.313,4723,10192,False,en,shrek forever after,6.2,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",PG,2010,05,P/DW,165.0,238.74,756.24,tt0892791,shrek forever after,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,"Mike Myers,Cameron Diaz,Eddie Murphy,Antonio Banderas",Mike Mitchell,,,"Ted Elliott,William Steig,Josh Klausner,Darren Lemke,Andrew Adamson",Adventure,Animation,Animation_Adventure,2.629463865598208,2.13682532446385
12,29.569,10351,10193,False,en,toy story 3,7.8,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",G,2010,06,BV,200.0,415.0,1068.88,tt0435761,toy story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,"Tom Hanks,Joan Cusack,Tim Allen,Ned Beatty",Lee Unkrich,Darla K. Anderson,,"Michael Arndt,Andrew Stanton,John Lasseter",Adventure,Animation,Animation_Adventure,4.013126751034652,4.313715913840571
13,29.008,15056,10195,False,en,thor,6.7,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",PG-13,2011,04,Par.,150.0,181.03,449.33,tt0800369,thor,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,"Anthony Hopkins,Tom Hiddleston,Natalie Portman,Chris Hemsworth",Kenneth Branagh,,,"Mark Protosevich,J. Michael Straczynski,Ashley Miller,Zack Stentz,Don Payne",Action,Adventure,Action,1.2711604617813619,1.4240807657838848
14,21.549,2592,10196,False,en,the last airbender,4.6,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",PG,2010,06,Par.,150.0,131.77,319.71,tt0938283,the last airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,"Nicola Peltz,Dev Patel,Jackson Rathbone,Noah Ringer",M. Night Shyamalan,"Frank Marshall,Sam Mercer",Conrad Buff IV,,Action,Adventure,Action,0.6974962370811579,0.8156975226618078
