,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Knives Out,2019,7.9,82.0,340943,165.36,130
1,Once Upon a Time... in Hollywood,2019,7.7,83.0,487755,142.5,161
2,The Gentlemen,2019,7.9,51.0,157213,,113
3,Parasite,2019,8.6,96.0,441832,53.37,132
4,Ford v Ferrari,2019,8.1,81.0,231742,117.62,152
5,Avengers: Endgame,2019,8.4,78.0,735909,858.37,181
6,Joker,2019,8.5,59.0,821962,335.45,122
7,Back to the Future,1985,8.5,87.0,1014784,210.61,116
8,1917,2019,8.3,78.0,339255,159.23,119
9,Ferris Bueller's Day Off,1986,7.8,61.0,310464,70.14,103
10,The Shawshank Redemption,1994,9.3,80.0,2258583,28.34,142
11,The Wolf of Wall Street,2013,8.2,75.0,1127906,116.9,180
12,Avengers: Infinity War,2018,8.4,68.0,784571,678.82,149
13,Inception,2010,8.8,74.0,1981434,292.58,148
14,Interstellar,2014,8.6,74.0,1430577,188.02,169
15,The Godfather,1972,9.2,100.0,1558474,134.97,175
16,Jojo Rabbit,2019,7.9,58.0,234384,0.35,108
17,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,618704,317.58,152
18,Little Women,2019,7.9,91.0,113489,108.1,135
19,The Dark Knight,2008,9.0,84.0,2224299,534.86,152
20,The Silence of the Lambs,1991,8.6,85.0,1223314,130.74,118
21,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1609000,315.54,178
22,The Shining,1980,8.4,66.0,860166,44.02,146
23,Jurassic Park,1993,8.1,68.0,836661,402.45,127
24,Zodiac,2007,7.7,78.0,436771,33.08,157
25,Pulp Fiction,1994,8.9,94.0,1767258,107.93,154
26,Saving Private Ryan,1998,8.6,91.0,1194065,216.54,169
27,The Green Mile,1999,8.6,61.0,1101544,136.8,189
28,Django Unchained,2012,8.4,81.0,1306885,162.81,165
29,Mission: Impossible - Fallout,2018,7.7,86.0,276262,220.16,147
30,The Princess Bride,1987,8.1,77.0,382000,30.86,98
31,The Matrix,1999,8.7,73.0,1619602,171.48,136
32,Inglourious Basterds,2009,8.3,69.0,1219221,120.54,153
33,Moana,2016,7.6,81.0,256182,248.76,107
34,Into the Wild,2007,8.1,73.0,556371,18.35,148
35,The Help,2011,8.1,62.0,416686,169.71,146
36,The Prestige,2006,8.5,66.0,1144370,53.09,130
37,Gladiator,2000,8.5,67.0,1297551,187.71,155
38,Mad Max: Fury Road,2015,8.1,90.0,847885,154.06,120
39,Call Me by Your Name,2017,7.9,93.0,195400,18.1,132
40,Titanic,1997,7.8,75.0,1017154,659.33,194
41,The Lighthouse,2019,7.6,83.0,111810,0.43,109
42,Jaws,1975,8.0,87.0,531929,260.0,124
43,The Departed,2006,8.5,85.0,1150658,132.38,151
44,The Goonies,1985,7.8,62.0,234510,61.5,114
45,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,326337,190.24,117
46,Thor: Ragnarok,2017,7.9,74.0,557491,315.06,130
47,Guardians of the Galaxy,2014,8.0,76.0,1017334,333.18,121
48,The Dark Knight Rises,2012,8.4,78.0,1470202,448.14,164
49,Ocean's Eleven,2001,7.7,74.0,500862,183.42,116
50,Forrest Gump,1994,8.8,82.0,1740864,330.25,142
51,Se7en,1995,8.6,65.0,1390062,100.13,127
52,Blade Runner 2049,2017,8.0,81.0,434902,92.05,164
53,The Irishman,2019,7.9,94.0,297065,,209
54,No Country for Old Men,2007,8.1,91.0,823023,74.28,122
55,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,997210,305.41,143
56,The Breakfast Club,1985,7.9,66.0,344357,45.88,97
57,Fight Club,1999,8.8,66.0,1794272,37.03,139
